system:index,.geo
31,"{""type"":""Point"",""coordinates"":[-110.82980690085488,44.78326616019277]}"
32,"{""type"":""Point"",""coordinates"":[-105.52330595297386,39.47268435000156]}"
33,"{""type"":""Point"",""coordinates"":[-108.83054604083524,36.887828315077876]}"
34,"{""type"":""Point"",""coordinates"":[-106.83627748221701,40.20588554021764]}"
35,"{""type"":""Point"",""coordinates"":[-110.54537286768422,41.925363384568804]}"
36,"{""type"":""Point"",""coordinates"":[-104.26179406519564,44.240235132265475]}"
37,"{""type"":""Point"",""coordinates"":[-110.48465532091794,41.67297033739074]}"
38,"{""type"":""Point"",""coordinates"":[-116.6246111091079,48.72379649980854]}"
39,"{""type"":""Point"",""coordinates"":[-108.4020982939596,43.813637234123156]}"
40,"{""type"":""Point"",""coordinates"":[-115.1588834763053,48.25431166136641]}"
41,"{""type"":""Point"",""coordinates"":[-108.79791873685978,43.401039490292604]}"
42,"{""type"":""Point"",""coordinates"":[-106.1494973607469,36.62399474699957]}"
43,"{""type"":""Point"",""coordinates"":[-105.28365493785161,35.56599659548161]}"
44,"{""type"":""Point"",""coordinates"":[-106.1751521594161,42.44923561590826]}"
45,"{""type"":""Point"",""coordinates"":[-105.56933466598761,36.25596781784675]}"
46,"{""type"":""Point"",""coordinates"":[-105.49505080039724,40.68851904051503]}"
47,"{""type"":""Point"",""coordinates"":[-107.58725612446119,37.799375895202076]}"
48,"{""type"":""Point"",""coordinates"":[-108.62595036125123,40.248176750328746]}"
49,"{""type"":""Point"",""coordinates"":[-111.69520723907847,37.88661059448688]}"
50,"{""type"":""Point"",""coordinates"":[-118.27027423480659,48.14490594319387]}"
51,"{""type"":""Point"",""coordinates"":[-108.52032306924175,45.11925265331887]}"
52,"{""type"":""Point"",""coordinates"":[-106.58143711889134,36.51925976662055]}"
53,"{""type"":""Point"",""coordinates"":[-105.11525565006254,37.41663765996309]}"
54,"{""type"":""Point"",""coordinates"":[-107.1962711298339,37.415866360384776]}"
55,"{""type"":""Point"",""coordinates"":[-109.72636939170523,41.72075530048607]}"
56,"{""type"":""Point"",""coordinates"":[-105.40941500312549,36.328812783647]}"
57,"{""type"":""Point"",""coordinates"":[-111.757492491868,47.07143066253168]}"
58,"{""type"":""Point"",""coordinates"":[-110.09910627110703,39.31543031663443]}"
59,"{""type"":""Point"",""coordinates"":[-108.95136576611645,43.91113890714259]}"
60,"{""type"":""Point"",""coordinates"":[-112.68637623995735,47.1900309357708]}"
61,"{""type"":""Point"",""coordinates"":[-105.71861947148213,39.14561031644439]}"
62,"{""type"":""Point"",""coordinates"":[-107.15947575724957,41.14248087717262]}"
63,"{""type"":""Point"",""coordinates"":[-111.47705243530993,44.50906863152405]}"
64,"{""type"":""Point"",""coordinates"":[-109.88408891914993,43.11398034912118]}"
65,"{""type"":""Point"",""coordinates"":[-110.80169931738693,37.357053020424836]}"
66,"{""type"":""Point"",""coordinates"":[-110.06968918152609,43.63707355785005]}"
67,"{""type"":""Point"",""coordinates"":[-105.39697936642398,41.23693841732384]}"
68,"{""type"":""Point"",""coordinates"":[-107.77214195059932,42.86845862109729]}"
69,"{""type"":""Point"",""coordinates"":[-110.23163293051006,38.07407536687024]}"
70,"{""type"":""Point"",""coordinates"":[-108.85705239842137,43.56011664808006]}"
71,"{""type"":""Point"",""coordinates"":[-110.14588594783265,37.057615217073135]}"
72,"{""type"":""Point"",""coordinates"":[-112.68178470245714,46.754565643776026]}"
73,"{""type"":""Point"",""coordinates"":[-114.5756426670627,47.428925126732]}"
74,"{""type"":""Point"",""coordinates"":[-105.48274128997211,41.80744580380918]}"
75,"{""type"":""Point"",""coordinates"":[-105.58849415417653,38.29375334339161]}"
76,"{""type"":""Point"",""coordinates"":[-107.67825288040449,39.86205384509211]}"
77,"{""type"":""Point"",""coordinates"":[-114.14431209284687,47.59365832284533]}"
78,"{""type"":""Point"",""coordinates"":[-109.19272803171116,46.726298469880966]}"
79,"{""type"":""Point"",""coordinates"":[-108.46088843972265,42.462550426822716]}"
80,"{""type"":""Point"",""coordinates"":[-113.03239375689883,44.35519109946722]}"
81,"{""type"":""Point"",""coordinates"":[-110.86465473678673,42.99752104840004]}"
82,"{""type"":""Point"",""coordinates"":[-106.39151031227938,37.073685047880176]}"
83,"{""type"":""Point"",""coordinates"":[-111.7966687577796,46.064555023529614]}"
84,"{""type"":""Point"",""coordinates"":[-113.41457349325252,47.249868772875246]}"
85,"{""type"":""Point"",""coordinates"":[-111.9328416762041,46.1672221291104]}"
86,"{""type"":""Point"",""coordinates"":[-111.03428919376968,45.78569729576499]}"
87,"{""type"":""Point"",""coordinates"":[-109.27511565015982,43.11498846109519]}"
88,"{""type"":""Point"",""coordinates"":[-106.54020948208924,36.33720662950001]}"
89,"{""type"":""Point"",""coordinates"":[-105.47142255899264,36.53256537728243]}"
90,"{""type"":""Point"",""coordinates"":[-108.61219804180125,41.528572789764844]}"
91,"{""type"":""Point"",""coordinates"":[-109.0888066124019,40.73105195428231]}"
92,"{""type"":""Point"",""coordinates"":[-110.70091817384949,36.96002943583952]}"
93,"{""type"":""Point"",""coordinates"":[-110.08235670152503,36.83944801601436]}"
94,"{""type"":""Point"",""coordinates"":[-114.73815675137288,47.821419624402]}"
95,"{""type"":""Point"",""coordinates"":[-112.62176012026887,44.98268415337738]}"
96,"{""type"":""Point"",""coordinates"":[-114.62344830441164,46.79927435152332]}"
97,"{""type"":""Point"",""coordinates"":[-115.90949702157008,47.990529980834395]}"
98,"{""type"":""Point"",""coordinates"":[-108.44881201523724,43.923430216096015]}"
99,"{""type"":""Point"",""coordinates"":[-109.70662974673476,37.287617177837106]}"
100,"{""type"":""Point"",""coordinates"":[-111.15798395731855,46.33659269460083]}"
101,"{""type"":""Point"",""coordinates"":[-109.1108790214642,39.24076785622824]}"
102,"{""type"":""Point"",""coordinates"":[-105.63603621447228,36.26273726826573]}"
103,"{""type"":""Point"",""coordinates"":[-109.90165851088805,39.68901364108514]}"
104,"{""type"":""Point"",""coordinates"":[-111.4677175466045,44.68238763011301]}"
105,"{""type"":""Point"",""coordinates"":[-107.78460379642392,43.172453353145606]}"
106,"{""type"":""Point"",""coordinates"":[-115.8948180997781,46.83736961211047]}"
107,"{""type"":""Point"",""coordinates"":[-113.94236748480095,44.87297733676539]}"
108,"{""type"":""Point"",""coordinates"":[-118.24565673425816,48.213378144782375]}"
109,"{""type"":""Point"",""coordinates"":[-113.28536800432066,46.27311544827785]}"
110,"{""type"":""Point"",""coordinates"":[-110.0956123847575,37.32141741267657]}"
111,"{""type"":""Point"",""coordinates"":[-108.91855031953557,43.93411948105045]}"
112,"{""type"":""Point"",""coordinates"":[-118.7757131909393,48.85135922651986]}"
113,"{""type"":""Point"",""coordinates"":[-109.908990050481,43.990403077075335]}"
114,"{""type"":""Point"",""coordinates"":[-107.80570536708218,39.181947518298784]}"
115,"{""type"":""Point"",""coordinates"":[-104.66999428415777,44.235257895838615]}"
116,"{""type"":""Point"",""coordinates"":[-109.13189910125425,38.54056932597057]}"
117,"{""type"":""Point"",""coordinates"":[-110.06404308323941,39.35494310553412]}"
118,"{""type"":""Point"",""coordinates"":[-110.7097876825014,39.09044805408497]}"
119,"{""type"":""Point"",""coordinates"":[-113.69069408484394,45.42973995194297]}"
120,"{""type"":""Point"",""coordinates"":[-105.67177728082726,38.91064395540923]}"
121,"{""type"":""Point"",""coordinates"":[-112.3903282127124,45.917081252852284]}"
122,"{""type"":""Point"",""coordinates"":[-112.89147924381143,46.7994881989001]}"
123,"{""type"":""Point"",""coordinates"":[-107.36699263865229,41.295203600645]}"
124,"{""type"":""Point"",""coordinates"":[-111.97933964751226,45.53921797814112]}"
125,"{""type"":""Point"",""coordinates"":[-104.60949557464764,37.26554897654643]}"
126,"{""type"":""Point"",""coordinates"":[-111.70409885653794,46.39378701180119]}"
127,"{""type"":""Point"",""coordinates"":[-108.13553228480542,39.45805082029085]}"
128,"{""type"":""Point"",""coordinates"":[-105.45332757758798,40.12402817598577]}"
129,"{""type"":""Point"",""coordinates"":[-109.56172554296555,42.861861708003865]}"
130,"{""type"":""Point"",""coordinates"":[-106.06615067460129,40.57207781639951]}"
131,"{""type"":""Point"",""coordinates"":[-107.05265940639545,36.79625638497576]}"
132,"{""type"":""Point"",""coordinates"":[-110.68915630108616,43.85693948264492]}"
133,"{""type"":""Point"",""coordinates"":[-108.94783770073126,37.82819577480951]}"
134,"{""type"":""Point"",""coordinates"":[-116.86366930908298,47.968165485934634]}"
135,"{""type"":""Point"",""coordinates"":[-110.76186550573144,46.79010402992194]}"
136,"{""type"":""Point"",""coordinates"":[-110.51629770915066,40.45697006123795]}"
137,"{""type"":""Point"",""coordinates"":[-111.90897618028009,44.54416570869777]}"
138,"{""type"":""Point"",""coordinates"":[-106.35284038993166,42.023117987764465]}"
139,"{""type"":""Point"",""coordinates"":[-110.0270859096127,45.0381001212995]}"
140,"{""type"":""Point"",""coordinates"":[-111.2466452925781,42.47833158736707]}"
141,"{""type"":""Point"",""coordinates"":[-107.11196111048436,42.41984779089819]}"
142,"{""type"":""Point"",""coordinates"":[-106.02440446431113,36.69296111856487]}"
143,"{""type"":""Point"",""coordinates"":[-110.1048752277611,40.18467158755234]}"
144,"{""type"":""Point"",""coordinates"":[-110.38371341651968,41.544591899191815]}"
145,"{""type"":""Point"",""coordinates"":[-110.72012796435551,42.08653738882579]}"
146,"{""type"":""Point"",""coordinates"":[-112.44544982235938,45.393432587523364]}"
147,"{""type"":""Point"",""coordinates"":[-109.19423715783597,43.95310579096444]}"
148,"{""type"":""Point"",""coordinates"":[-108.70308039050101,41.170467780297884]}"
149,"{""type"":""Point"",""coordinates"":[-116.69997936828166,48.87482046700997]}"
150,"{""type"":""Point"",""coordinates"":[-111.27579449007983,43.095847316517606]}"
151,"{""type"":""Point"",""coordinates"":[-108.6690433504908,40.06107057202662]}"
152,"{""type"":""Point"",""coordinates"":[-110.45685374049074,41.555995487412666]}"
153,"{""type"":""Point"",""coordinates"":[-116.57012477703537,47.90657615381585]}"
154,"{""type"":""Point"",""coordinates"":[-108.48871322603274,37.75007142469163]}"
155,"{""type"":""Point"",""coordinates"":[-116.1190520722606,46.65241406713894]}"
156,"{""type"":""Point"",""coordinates"":[-106.38462793083389,38.056282637341816]}"
157,"{""type"":""Point"",""coordinates"":[-108.70009073916385,40.06377255248085]}"
158,"{""type"":""Point"",""coordinates"":[-109.72478358844785,42.8144261202992]}"
159,"{""type"":""Point"",""coordinates"":[-107.37272813452549,39.204872273272905]}"
160,"{""type"":""Point"",""coordinates"":[-109.84077401321152,37.607141933744046]}"
161,"{""type"":""Point"",""coordinates"":[-108.63796445084306,42.645838722256094]}"
162,"{""type"":""Point"",""coordinates"":[-110.57981511929154,44.08252513374188]}"
163,"{""type"":""Point"",""coordinates"":[-116.0121463263189,48.023620500965855]}"
164,"{""type"":""Point"",""coordinates"":[-118.74670143616453,48.693556369462314]}"
165,"{""type"":""Point"",""coordinates"":[-106.85157137314405,36.795577925438955]}"
166,"{""type"":""Point"",""coordinates"":[-111.34766116905188,46.465310607186666]}"
167,"{""type"":""Point"",""coordinates"":[-111.34945976783199,37.407570665007306]}"
168,"{""type"":""Point"",""coordinates"":[-105.77276040049841,35.878604874666976]}"
169,"{""type"":""Point"",""coordinates"":[-111.87080308147456,45.35513888336474]}"
170,"{""type"":""Point"",""coordinates"":[-116.52607344568771,46.82313828551817]}"
171,"{""type"":""Point"",""coordinates"":[-115.63364699114409,47.38652888440991]}"
172,"{""type"":""Point"",""coordinates"":[-108.87239356345597,43.24804450228763]}"
173,"{""type"":""Point"",""coordinates"":[-109.87288903776259,45.11957835179412]}"
174,"{""type"":""Point"",""coordinates"":[-112.65531978405922,46.50884160877415]}"
175,"{""type"":""Point"",""coordinates"":[-118.82164742407349,48.13583624905524]}"
176,"{""type"":""Point"",""coordinates"":[-113.20440695255142,37.30164768188024]}"
177,"{""type"":""Point"",""coordinates"":[-114.86465381584121,46.971143175309045]}"
178,"{""type"":""Point"",""coordinates"":[-109.74932874965752,44.826437801320345]}"
179,"{""type"":""Point"",""coordinates"":[-112.72157643828717,36.88613327377182]}"
180,"{""type"":""Point"",""coordinates"":[-108.23392505858385,41.03238767109829]}"
181,"{""type"":""Point"",""coordinates"":[-109.39541324814098,37.676087045709046]}"
182,"{""type"":""Point"",""coordinates"":[-115.76005468651022,46.648710495301664]}"
183,"{""type"":""Point"",""coordinates"":[-109.85608474601308,43.819892130342]}"
184,"{""type"":""Point"",""coordinates"":[-106.72005407043004,36.891010532719896]}"
185,"{""type"":""Point"",""coordinates"":[-110.03172397257885,43.88380784211518]}"
186,"{""type"":""Point"",""coordinates"":[-107.01106503551334,40.85736891495498]}"
187,"{""type"":""Point"",""coordinates"":[-111.07500774631471,43.48487426740756]}"
188,"{""type"":""Point"",""coordinates"":[-106.47342674800161,35.78310007151432]}"
189,"{""type"":""Point"",""coordinates"":[-110.28503823786524,38.73915738252897]}"
190,"{""type"":""Point"",""coordinates"":[-106.06667505797779,36.66808065095489]}"
191,"{""type"":""Point"",""coordinates"":[-107.59206391835312,43.81364723068906]}"
192,"{""type"":""Point"",""coordinates"":[-106.08114077852056,42.691813977188275]}"
193,"{""type"":""Point"",""coordinates"":[-108.60910560501755,43.33013267488631]}"
194,"{""type"":""Point"",""coordinates"":[-107.84648814423943,41.134013084544534]}"
195,"{""type"":""Point"",""coordinates"":[-111.22949241754387,44.959323408628656]}"
196,"{""type"":""Point"",""coordinates"":[-110.82625639234989,43.6967678396758]}"
197,"{""type"":""Point"",""coordinates"":[-110.26277503872444,40.52417797184067]}"
198,"{""type"":""Point"",""coordinates"":[-110.19112913766179,40.211916051938985]}"
199,"{""type"":""Point"",""coordinates"":[-109.23243724046779,42.080323101110736]}"
200,"{""type"":""Point"",""coordinates"":[-116.99934978913582,47.61292253706288]}"
201,"{""type"":""Point"",""coordinates"":[-109.04105910999871,39.78462143518209]}"
202,"{""type"":""Point"",""coordinates"":[-109.09825541447204,40.33329152848484]}"
203,"{""type"":""Point"",""coordinates"":[-106.49372463047605,36.11646970094266]}"
204,"{""type"":""Point"",""coordinates"":[-116.43217776087047,47.869698753109105]}"
205,"{""type"":""Point"",""coordinates"":[-107.58621694872858,40.49338478841048]}"
206,"{""type"":""Point"",""coordinates"":[-108.40477449898435,44.42248059240728]}"
207,"{""type"":""Point"",""coordinates"":[-112.0747149605329,46.653075969871715]}"
208,"{""type"":""Point"",""coordinates"":[-112.31576516656891,44.34691167355405]}"
209,"{""type"":""Point"",""coordinates"":[-109.8843579380165,39.0104927869187]}"
210,"{""type"":""Point"",""coordinates"":[-104.49779246051408,44.581723848489595]}"
211,"{""type"":""Point"",""coordinates"":[-113.74477203899097,44.691243878918655]}"
212,"{""type"":""Point"",""coordinates"":[-109.20483535192788,37.517071826349856]}"
213,"{""type"":""Point"",""coordinates"":[-104.37781115978687,44.87047957495328]}"
214,"{""type"":""Point"",""coordinates"":[-109.3986021232182,42.43825673269147]}"
215,"{""type"":""Point"",""coordinates"":[-111.42325872557366,46.45310322502784]}"
216,"{""type"":""Point"",""coordinates"":[-110.62781120935263,39.31350999949066]}"
217,"{""type"":""Point"",""coordinates"":[-107.99138059943505,39.247840218780226]}"
218,"{""type"":""Point"",""coordinates"":[-114.38011987462768,48.2638598927215]}"
219,"{""type"":""Point"",""coordinates"":[-105.73117727560503,35.71734330024659]}"
220,"{""type"":""Point"",""coordinates"":[-107.11104426277852,44.01228566851213]}"
221,"{""type"":""Point"",""coordinates"":[-105.61276241374199,36.187783213435054]}"
222,"{""type"":""Point"",""coordinates"":[-106.69876091538083,41.655254586924634]}"
223,"{""type"":""Point"",""coordinates"":[-106.8053498753798,36.320173794736775]}"
224,"{""type"":""Point"",""coordinates"":[-110.05611255851014,38.93009516374595]}"
225,"{""type"":""Point"",""coordinates"":[-113.58967139375049,44.94183284700031]}"
226,"{""type"":""Point"",""coordinates"":[-110.37092216523165,37.77605707452766]}"
227,"{""type"":""Point"",""coordinates"":[-115.07243011484694,46.48525208566525]}"
228,"{""type"":""Point"",""coordinates"":[-108.62220500561942,38.63098182438132]}"
229,"{""type"":""Point"",""coordinates"":[-107.37402719795318,37.00967647694214]}"
230,"{""type"":""Point"",""coordinates"":[-112.95038943862403,36.87863375804683]}"
231,"{""type"":""Point"",""coordinates"":[-109.34383051405455,42.30871111597951]}"
232,"{""type"":""Point"",""coordinates"":[-112.6738797458411,45.28775010180785]}"
233,"{""type"":""Point"",""coordinates"":[-108.29434208138858,37.69625341773754]}"
234,"{""type"":""Point"",""coordinates"":[-111.27796801410946,44.73551557634942]}"
235,"{""type"":""Point"",""coordinates"":[-109.7965306902113,44.50588202577619]}"
236,"{""type"":""Point"",""coordinates"":[-105.9146625087969,41.07771847736017]}"
237,"{""type"":""Point"",""coordinates"":[-105.28784132261575,39.84658468286741]}"
238,"{""type"":""Point"",""coordinates"":[-105.76800355667525,38.46144032748862]}"
239,"{""type"":""Point"",""coordinates"":[-111.58983350605587,43.10718333860666]}"
240,"{""type"":""Point"",""coordinates"":[-106.7318964357047,42.88975175451902]}"
241,"{""type"":""Point"",""coordinates"":[-113.95796778304076,46.60277442944734]}"
242,"{""type"":""Point"",""coordinates"":[-111.23163656452422,45.41677370442044]}"
243,"{""type"":""Point"",""coordinates"":[-109.34870399546638,42.95775057025682]}"
244,"{""type"":""Point"",""coordinates"":[-108.32950327090138,44.126987993897664]}"
245,"{""type"":""Point"",""coordinates"":[-107.1038260638328,36.167054767841414]}"
246,"{""type"":""Point"",""coordinates"":[-115.45842933607229,48.155831727464836]}"
247,"{""type"":""Point"",""coordinates"":[-107.34586756817777,38.725842477378514]}"
248,"{""type"":""Point"",""coordinates"":[-117.41406086227522,47.64933336315786]}"
249,"{""type"":""Point"",""coordinates"":[-108.09616385866761,41.99144310610683]}"
250,"{""type"":""Point"",""coordinates"":[-110.19169766118969,38.950218475147715]}"
251,"{""type"":""Point"",""coordinates"":[-116.31939325941286,47.24332788849882]}"
252,"{""type"":""Point"",""coordinates"":[-106.993490109714,40.300338852526856]}"
253,"{""type"":""Point"",""coordinates"":[-108.76245893862679,42.411090685100795]}"
254,"{""type"":""Point"",""coordinates"":[-110.94191541413598,39.40826602640076]}"
255,"{""type"":""Point"",""coordinates"":[-109.98491576227244,42.60907696596678]}"
256,"{""type"":""Point"",""coordinates"":[-106.31034479131667,41.19273082665668]}"
257,"{""type"":""Point"",""coordinates"":[-118.4047267660128,48.1596220922682]}"
258,"{""type"":""Point"",""coordinates"":[-110.35497414072549,45.53626175606884]}"
259,"{""type"":""Point"",""coordinates"":[-108.34367033980848,43.08353298323168]}"
260,"{""type"":""Point"",""coordinates"":[-110.52517943675579,39.44826407418253]}"
261,"{""type"":""Point"",""coordinates"":[-109.15276932191887,46.76314761579996]}"
262,"{""type"":""Point"",""coordinates"":[-107.451425341395,39.009689832870556]}"
263,"{""type"":""Point"",""coordinates"":[-113.86230549327561,46.51155728684303]}"
264,"{""type"":""Point"",""coordinates"":[-109.80296860652665,41.64613947979856]}"
265,"{""type"":""Point"",""coordinates"":[-109.45054360094439,44.7245112498625]}"
266,"{""type"":""Point"",""coordinates"":[-115.34500795372594,46.54867196314675]}"
267,"{""type"":""Point"",""coordinates"":[-112.95468698377987,36.78738846742767]}"
268,"{""type"":""Point"",""coordinates"":[-109.71823027390553,38.87060447449878]}"
269,"{""type"":""Point"",""coordinates"":[-105.12252369948754,36.84430641742611]}"
270,"{""type"":""Point"",""coordinates"":[-109.58912653249828,41.188002982687074]}"
271,"{""type"":""Point"",""coordinates"":[-106.65888463297976,41.98833342554287]}"
272,"{""type"":""Point"",""coordinates"":[-110.05517682858685,40.54778764205973]}"
273,"{""type"":""Point"",""coordinates"":[-107.23931083336848,41.611605168550696]}"
274,"{""type"":""Point"",""coordinates"":[-109.75574734998845,43.99885029740611]}"
275,"{""type"":""Point"",""coordinates"":[-114.53072484464424,48.43770391266472]}"
276,"{""type"":""Point"",""coordinates"":[-106.13332412660463,41.88178571634158]}"
277,"{""type"":""Point"",""coordinates"":[-109.65072900620869,39.3102359608288]}"
278,"{""type"":""Point"",""coordinates"":[-105.81863991064198,38.23696765704363]}"
279,"{""type"":""Point"",""coordinates"":[-114.05824825073928,44.65419628081762]}"
280,"{""type"":""Point"",""coordinates"":[-112.02597906182369,37.66571644509967]}"
281,"{""type"":""Point"",""coordinates"":[-111.16496375172625,38.26588199216299]}"
282,"{""type"":""Point"",""coordinates"":[-118.32288841177862,48.69314325882488]}"
283,"{""type"":""Point"",""coordinates"":[-106.2168694787359,41.758139266491035]}"
284,"{""type"":""Point"",""coordinates"":[-111.47723775226153,46.67488573381005]}"
285,"{""type"":""Point"",""coordinates"":[-106.54945338524959,35.60753309046055]}"
286,"{""type"":""Point"",""coordinates"":[-107.7424458209918,43.35883970291982]}"
287,"{""type"":""Point"",""coordinates"":[-107.85315068810571,42.4000863448214]}"
288,"{""type"":""Point"",""coordinates"":[-115.25122674674688,48.90238429701203]}"
289,"{""type"":""Point"",""coordinates"":[-108.1172937253951,37.24884030528799]}"
290,"{""type"":""Point"",""coordinates"":[-109.38418466600373,39.53015168571443]}"
291,"{""type"":""Point"",""coordinates"":[-108.07286142800554,40.20297514369562]}"
292,"{""type"":""Point"",""coordinates"":[-108.85105310824534,37.369305848850686]}"
293,"{""type"":""Point"",""coordinates"":[-106.76025431305008,39.8707813742482]}"
294,"{""type"":""Point"",""coordinates"":[-109.56518930995468,42.49428470993388]}"
295,"{""type"":""Point"",""coordinates"":[-107.0924795413006,39.919888029720525]}"
296,"{""type"":""Point"",""coordinates"":[-106.8691455776555,41.03078455954208]}"
297,"{""type"":""Point"",""coordinates"":[-111.75333170430429,37.13614012750922]}"
298,"{""type"":""Point"",""coordinates"":[-109.8240629117251,37.52401518452598]}"
299,"{""type"":""Point"",""coordinates"":[-108.52465596947684,44.94157071018976]}"
300,"{""type"":""Point"",""coordinates"":[-112.89056824559418,37.08676904067156]}"
301,"{""type"":""Point"",""coordinates"":[-118.33113201435226,48.29707293261225]}"
302,"{""type"":""Point"",""coordinates"":[-117.65383967809993,48.70945023990318]}"
303,"{""type"":""Point"",""coordinates"":[-112.25596758517513,44.34632425932701]}"
304,"{""type"":""Point"",""coordinates"":[-106.03704541486927,41.71703898044716]}"
305,"{""type"":""Point"",""coordinates"":[-111.72470052407245,46.05901879583502]}"
306,"{""type"":""Point"",""coordinates"":[-107.47258671601544,39.26824549817232]}"
307,"{""type"":""Point"",""coordinates"":[-118.67034505075098,48.15757210414686]}"
308,"{""type"":""Point"",""coordinates"":[-113.24446896786499,45.08628750840532]}"
309,"{""type"":""Point"",""coordinates"":[-118.2309295815544,48.79608692582164]}"
310,"{""type"":""Point"",""coordinates"":[-104.81171393212495,37.44277375175982]}"
311,"{""type"":""Point"",""coordinates"":[-106.39778604688202,37.13117636806124]}"
312,"{""type"":""Point"",""coordinates"":[-105.56701044567153,38.22637851451693]}"
313,"{""type"":""Point"",""coordinates"":[-108.78113156787288,37.25931563739701]}"
314,"{""type"":""Point"",""coordinates"":[-116.32873643297627,47.4727993201696]}"
315,"{""type"":""Point"",""coordinates"":[-105.3662386314255,39.95211620510997]}"
316,"{""type"":""Point"",""coordinates"":[-107.44795618959905,40.606249186951835]}"
317,"{""type"":""Point"",""coordinates"":[-111.15656961080593,38.573875734811914]}"
318,"{""type"":""Point"",""coordinates"":[-105.32793037307646,36.58379087267199]}"
319,"{""type"":""Point"",""coordinates"":[-109.10966214246147,39.22721400786057]}"
320,"{""type"":""Point"",""coordinates"":[-110.77528355231514,45.28045388915387]}"
321,"{""type"":""Point"",""coordinates"":[-113.2552688399791,45.40585492794438]}"
322,"{""type"":""Point"",""coordinates"":[-106.93900447936156,40.127789577434484]}"
323,"{""type"":""Point"",""coordinates"":[-109.28500841814596,38.92693308802942]}"
324,"{""type"":""Point"",""coordinates"":[-105.48247237741431,39.69165421907923]}"
325,"{""type"":""Point"",""coordinates"":[-118.22552100308188,48.655133245337815]}"
326,"{""type"":""Point"",""coordinates"":[-106.38960822417143,36.885609904674716]}"
327,"{""type"":""Point"",""coordinates"":[-113.60248271947043,46.22022988006139]}"
328,"{""type"":""Point"",""coordinates"":[-107.8400773798287,37.49989635671847]}"
329,"{""type"":""Point"",""coordinates"":[-107.90565220662702,39.730989366536846]}"
330,"{""type"":""Point"",""coordinates"":[-107.22316877535093,37.104543384565744]}"
331,"{""type"":""Point"",""coordinates"":[-110.70747594264779,45.50914907041302]}"
332,"{""type"":""Point"",""coordinates"":[-109.34291744941889,37.774866446394775]}"
333,"{""type"":""Point"",""coordinates"":[-116.12047358787059,48.06231682738684]}"
334,"{""type"":""Point"",""coordinates"":[-106.79699747329299,36.80628149326972]}"
335,"{""type"":""Point"",""coordinates"":[-112.65967572273775,45.19697974803769]}"
336,"{""type"":""Point"",""coordinates"":[-110.48084145142224,37.039120002549446]}"
337,"{""type"":""Point"",""coordinates"":[-111.11281145985296,41.90133687802626]}"
338,"{""type"":""Point"",""coordinates"":[-106.60017124150805,38.86984615852908]}"
339,"{""type"":""Point"",""coordinates"":[-114.77692369556722,48.4014326516411]}"
340,"{""type"":""Point"",""coordinates"":[-106.97019940895186,39.61837729931341]}"
